session_id,gps_date,gps_time,latitude,longitude,velocity,course,satellites_in_view,satellites_used,hdop,label
20260609_190003,6/9/2026,0:02:18,32.1014007,36.1122102,1.542,7.27,11,8,1.14,0
20260609_190003,6/9/2026,0:02:19,32.101413,36.1122113,1.439,6.08,11,7,1.14,0
20260609_190003,6/9/2026,0:02:20,32.1014243,36.1122115,1.37,5.24,11,7,1.14,0
20260609_190003,6/9/2026,0:02:21,32.1014362,36.1122128,1.366,5.85,11,8,1.14,0
20260609_190003,6/9/2026,0:02:22,32.1014472,36.112213,1.296,5.31,11,8,1.14,0
20260609_190003,6/9/2026,0:02:23,32.1014592,36.1122137,1.399,4.03,11,8,1.14,0
20260609_190003,6/9/2026,0:02:24,32.1014707,36.1122118,1.425,1.65,11,8,0.99,0
20260609_190003,6/9/2026,0:02:25,32.1014823,36.1122093,1.425,357.93,11,8,0.99,0
20260609_190003,6/9/2026,0:02:26,32.1014937,36.1122058,1.405,354.5,11,8,0.99,0
20260609_190003,6/9/2026,0:02:27,32.101505,36.1122027,1.386,352.37,11,8,0.99,0
20260609_190003,6/9/2026,0:02:28,32.1015183,36.1122023,1.439,354.97,11,8,1.14,0
20260609_190003,6/9/2026,0:02:29,32.1015313,36.1122013,1.487,356.13,11,8,1.14,0
20260609_190003,6/9/2026,0:02:30,32.1015433,36.112203,1.409,3.5,11,8,0.99,0
20260609_190003,6/9/2026,0:02:31,32.1015543,36.1122072,1.343,11.59,11,8,0.99,0
20260609_190003,6/9/2026,0:02:32,32.1015663,36.1122102,1.418,13.07,11,8,0.99,0
20260609_190003,6/9/2026,0:02:33,32.1015785,36.1122118,1.452,10.04,11,8,0.99,0
20260609_190003,6/9/2026,0:02:34,32.1015913,36.1122132,1.449,9.13,11,8,0.99,0
20260609_190003,6/9/2026,0:02:35,32.1016028,36.112215,1.383,9.49,11,8,0.99,0
20260609_190003,6/9/2026,0:02:36,32.1016142,36.1122158,1.384,7.23,11,8,0.99,0
20260609_190003,6/9/2026,0:02:37,32.1016257,36.1122163,1.364,6.9,11,8,0.99,0
20260609_190003,6/9/2026,0:02:38,32.101639,36.1122175,1.389,4.76,11,8,1.14,0
20260609_190003,6/9/2026,0:02:39,32.1016527,36.1122198,1.486,7.57,11,8,1.14,0
20260609_190003,6/9/2026,0:02:40,32.101666,36.1122212,1.441,6.39,11,8,0.99,0
20260609_190003,6/9/2026,0:02:41,32.1016798,36.112222,1.466,4.29,11,8,1.14,0
20260609_190003,6/9/2026,0:02:42,32.101692,36.1122223,1.397,2.49,11,8,0.99,0
20260609_190003,6/9/2026,0:02:43,32.1017042,36.1122213,1.38,359.67,11,8,0.99,0
20260609_190003,6/9/2026,0:02:44,32.1017165,36.1122212,1.375,0.87,11,8,0.99,0
20260609_190003,6/9/2026,0:02:45,32.1017282,36.1122217,1.343,2.97,11,8,0.99,0
20260609_190003,6/9/2026,0:02:46,32.1017413,36.1122225,1.49,4.43,11,8,0.99,0
20260609_190003,6/9/2026,0:02:47,32.1017542,36.1122228,1.482,4.17,11,8,0.99,0
20260609_190003,6/9/2026,0:02:48,32.1017675,36.112223,1.513,2.71,11,8,0.99,0
20260609_190003,6/9/2026,0:02:49,32.1017802,36.1122232,1.441,3.16,11,8,0.99,0
20260609_190003,6/9/2026,0:02:50,32.1017923,36.112224,1.353,3.93,11,8,0.99,0
20260609_190003,6/9/2026,0:02:51,32.1018043,36.1122248,1.319,4.38,11,8,0.99,0
20260609_190003,6/9/2026,0:02:52,32.1018165,36.1122258,1.34,4.67,11,8,0.99,0
20260609_190003,6/9/2026,0:02:53,32.101829,36.112227,1.33,3.42,11,8,1.14,0
20260609_190003,6/9/2026,0:02:54,32.101841,36.1122268,1.322,0.5,11,8,1.14,0
20260609_190003,6/9/2026,0:02:55,32.1018538,36.1122258,1.374,356.79,11,8,1.14,0
20260609_190003,6/9/2026,0:02:56,32.1018668,36.1122248,1.406,355.56,11,8,1.14,0
20260609_190003,6/9/2026,0:02:57,32.1018793,36.1122248,1.325,357.63,11,8,1.14,0
20260609_190003,6/9/2026,0:02:58,32.101892,36.1122258,1.354,0.16,11,8,1.14,0
20260609_190003,6/9/2026,0:02:59,32.1019045,36.1122267,1.375,359.63,11,8,1.14,0
20260609_190003,6/9/2026,0:03:00,32.1019167,36.1122272,1.37,0.87,11,8,1.14,0
20260609_190003,6/9/2026,0:03:01,32.1019292,36.112228,1.372,2.28,11,8,1.14,0
20260609_190003,6/9/2026,0:03:02,32.1019417,36.1122302,1.344,6.63,11,8,1.14,0
20260609_190003,6/9/2026,0:03:03,32.1019533,36.1122332,1.354,10.14,11,8,1.14,0
20260609_190003,6/9/2026,0:03:04,32.1019645,36.1122393,1.417,18.92,11,8,1.14,0
20260609_190003,6/9/2026,0:03:05,32.1019722,36.1122493,1.441,34.2,11,8,0.99,0
20260609_190003,6/9/2026,0:03:06,32.1019772,36.1122632,1.433,48.05,11,8,1.14,0
20260609_190003,6/9/2026,0:03:07,32.1019805,36.1122782,1.421,58.08,11,8,1.14,0
20260609_190003,6/9/2026,0:03:08,32.1019815,36.112294,1.491,76.82,11,8,1.14,0
20260609_190003,6/9/2026,0:03:09,32.1019815,36.11231,1.534,83.92,11,8,1.14,0
20260609_190003,6/9/2026,0:03:10,32.101982,36.1123267,1.517,86.65,11,8,1.14,0
20260609_190003,6/9/2026,0:03:11,32.1019813,36.112343,1.523,89.94,11,8,1.14,0
20260609_190003,6/9/2026,0:03:12,32.1019805,36.1123588,1.518,90.96,11,8,1.14,0
20260609_190003,6/9/2026,0:03:13,32.10198,36.112374,1.445,90.81,11,8,1.14,0
20260609_190003,6/9/2026,0:03:14,32.1019797,36.1123885,1.384,89.86,11,8,1.14,0
20260609_190003,6/9/2026,0:03:15,32.1019795,36.1124038,1.48,89.3,11,8,1.14,0
20260609_190003,6/9/2026,0:03:16,32.1019795,36.1124188,1.433,90.26,11,8,1.14,0
20260609_190003,6/9/2026,0:03:17,32.1019795,36.1124343,1.486,90.06,11,8,1.14,0
20260609_190003,6/9/2026,0:03:18,32.1019792,36.1124493,1.44,89.53,11,8,1.14,0
20260609_190003,6/9/2026,0:03:19,32.1019795,36.1124643,1.401,89.17,11,8,1.14,0
20260609_190003,6/9/2026,0:03:20,32.1019795,36.1124787,1.388,89.45,11,8,1.14,0
20260609_190003,6/9/2026,0:03:21,32.1019792,36.112494,1.463,90.43,11,8,1.14,0
20260609_190003,6/9/2026,0:03:22,32.1019765,36.1125045,1.311,90.22,11,8,0.99,0
20260609_190003,6/9/2026,0:03:23,32.1019738,36.1125173,1.439,92.14,11,8,0.99,0
20260609_190003,6/9/2026,0:03:24,32.1019733,36.1125312,1.435,90.84,11,8,0.99,0
20260609_190003,6/9/2026,0:03:25,32.1019708,36.1125422,1.445,93.09,11,7,1.27,0
20260609_190003,6/9/2026,0:03:26,32.10197,36.1125542,1.388,91.63,11,8,1.27,0
20260609_190003,6/9/2026,0:03:27,32.1019698,36.1125662,1.32,89.31,11,8,1.27,0
20260609_190003,6/9/2026,0:03:28,32.1019685,36.1125785,1.362,92.04,11,8,1.27,0
